word,sentiment_importance,course_importance,total_importance,category,word_length,is_japanese,rank
ならい,0.0010264921933412,0.0004089444875717,0.0014354366809128999,感情特化,3,True,342
説得,0.001092945624675,0.0003351627715996,0.0014281083962746,感情特化,2,True,349
立て,0.0010951994918286,0.000331327911805,0.0014265274036336,感情特化,2,True,350
からべ,0.0010150945080178,0.0004113800823688,0.0014264745903866,感情特化,3,True,351
たり習,0.0011056264241536,0.0003186153868834,0.001424241811037,感情特化,3,True,355
ドリルい,0.0010437749326229,0.0003792747855186,0.0014230497181415,感情特化,4,True,358
生涯,0.001192131164399,0.0002303990450772,0.0014225302094762,感情特化,2,True,359
付く,0.0009450072591955,0.0004761279983953,0.0014211352575908,感情特化,2,True,362
打つ,0.0009907931089401,0.0004281071679932,0.0014189002769333,感情特化,2,True,365
演出,0.0010755471885204,0.000343178709348,0.0014187258978684,感情特化,2,True,367
取り掛かる,0.0012284507128325,0.0001884234899824,0.0014168742028149,感情特化,5,True,372
出来事,0.0011251988294331,0.0002898816829142,0.0014150805123473,感情特化,3,True,374
重点,0.0012366908692544,0.0001743524785964,0.0014110433478507999,感情特化,2,True,379
課題め,0.0009761484196552,0.0004337278123085,0.0014098762319637,感情特化,3,True,382
差別,0.000911126534144,0.0004979918400446,0.0014091183741886,感情特化,2,True,385
元気,0.0009885643209729,0.0004192824874605,0.0014078468084334,感情特化,2,True,386
100,0.001111339061306,0.000296015292406,0.001407354353712,感情特化,3,False,387
感じしかっ,0.0011737406253814,0.0002327010035514,0.0014064416289328,感情特化,5,True,388
少ない,0.0010491170246025,0.0003566837002491,0.0014058007248516,感情特化,3,True,390
話し合う,0.0011824587429011,0.0002197112750124,0.0014021700179135,感情特化,4,True,394
楽しみ,0.0009193588596056,0.0004793294869801,0.0013986883465857,感情特化,3,True,399
しょう,0.0010386488089958,0.0003600294391314,0.0013986782481272,感情特化,3,True,400
アプリ,0.0011331422461403,0.0002638396289613,0.0013969818751016,感情特化,3,True,403
問わ,0.000944745061653,0.0004460582775729,0.0013908033392259,感情特化,2,True,412
漢字,0.0013299739609162,6.0739616552988686e-05,0.0013907135774691888,感情特化,2,True,413
書き直し,0.0011507322390874,0.0002380659182866,0.001388798157374,感情特化,4,True,415
テストめ,0.000947566392521,0.0004395718375841,0.0013871382301051,感情特化,4,True,418
web,0.0009637948657785,0.000422683677503,0.0013864785432815,感情特化,3,False,419
苦手張っ,0.0010056751114981,0.0003786299909864,0.0013843051024845,感情特化,4,True,424
初回,0.0008957316026543,0.0004857679208119,0.0013814995234662,感情特化,2,True,429
パソコン,0.001058012972905,0.0003227540619776,0.0013807670348826,感情特化,4,True,430
また習,0.0011368782569964,0.0002410327394803,0.0013779109964767002,感情特化,3,True,433
12,0.0010290519733514,0.0003450880093233,0.0013741399826747,感情特化,2,False,444
なかっめて,0.0010649836622178,0.000308527611196,0.0013735112734137998,感情特化,5,True,446
生活かせる,0.0012641362845897,0.0001092195510864,0.0013733558356761,感情特化,5,True,447
順調,0.0010344007362922,0.0003367892156044,0.0013711899518965998,感情特化,2,True,452
頻度,0.0009397183145795,0.0004312853728021,0.0013710036873816,感情特化,2,True,453
ください習習,0.001194954634859,0.0001760428914657,0.0013709975263247,感情特化,6,True,454
イン,0.0012682421753803,9.733686844507854e-05,0.0013655790438253787,感情特化,2,True,459
日々習,0.0010349296033382,0.0003295943140983,0.0013645239174365,感情特化,3,True,461
読み取る,0.0010474441306931,0.0003138514501707,0.0013612955808638,感情特化,4,True,464
言語,0.000873306615127,0.0004836809443863,0.0013569875595133,感情特化,2,True,467
掛け,0.0009862378239631,0.0003688156604766,0.0013550534844397,感情特化,2,True,470
なれ,0.0010014355146125,0.0003520190058385,0.001353454520451,感情特化,2,True,476
きく,0.0010641319677233,0.0002878550440073,0.0013519870117306,感情特化,2,True,479
きっと,0.0010983339614338,0.0002533694108327,0.0013517033722664999,感情特化,3,True,480
学習張っ,0.0010111411102116,0.0003400258719921,0.0013511669822036999,感情特化,4,True,483
エンジニアリング,0.0009123757481575,0.0004366874694824,0.0013490632176399,感情特化,8,True,486
やろう,0.0009783380664885,0.0003705338264505,0.001348871892939,感情特化,3,True,488
不可,0.0010044802911579,0.0003403462469577,0.0013448265381156,感情特化,2,True,492
ませ張っ,0.0009856052696704,0.0003591835498809,0.0013447888195513,感情特化,4,True,493
結びつけ,0.0008941723240746,0.0004476077026791,0.0013417800267537,感情特化,4,True,499
トレーニング,0.0010403259817896,0.0003006877056483,0.0013410136874379,感情特化,6,True,501
ぶり,0.000875129119346,0.0004639578493017,0.0013390869686477,感情特化,2,True,505
分かりい,0.0010227475847516,0.0003157343183244,0.0013384819030760001,感情特化,4,True,507
高かっ,0.0011096578091382,0.0002287340660889,0.0013383918752271,感情特化,3,True,508
先生談,0.0008746238256042,0.0004616196859966,0.0013362435116008,感情特化,3,True,513
心身,0.0011704328159491,0.0001653258999188,0.0013357587158679002,感情特化,2,True,514
先端,0.0010758079588413,0.0002591490745544,0.0013349570333957,感情特化,2,True,518
スライド板,0.0008639253675937,0.0004709869623184,0.0013349123299121,感情特化,5,True,519
初期,0.000836744531989,0.0004962339997291,0.0013329785317181,感情特化,2,True,522
