,mean_shap,abs_mean_shap,std_shap,count
 歴史,0.03569375836819869,0.03569555018563685,0.0379302212169791,74.0
 付い,0.03561803870172018,0.04158406856893961,0.0604261097439908,6.0
 国際,0.03515958670565548,0.03515958670565548,0.028466237689800694,9.0
 られる,0.035058838595439075,0.03575165060434703,0.04533341291477449,35.0
 できれ,0.0349932780729129,0.03507720697158827,0.04051817010381482,8.0
 作れ,0.034622465191205265,0.034622465191205265,0.03720758447234088,5.0
 史,0.03455887263698969,0.03519975355884526,0.047204158483134064,10.0
 だっ,0.03448297977190454,0.03525635390360597,0.04918118163109181,211.0
 養,0.03407687115896907,0.03407687115896907,0.023688926035146073,8.0
 損,0.033797015136428854,0.0338584934646633,0.03250172026655763,8.0
 鍛え,0.03335587910114555,0.03335587910114555,0.06215113142388771,10.0
活,0.03334825669035619,0.03334825669035619,0.030614905471048743,9.0
 視点,0.03329304601092273,0.03329304601092273,0.021248325716789734,11.0
 高まり,0.0331908646163356,0.0331908646163356,0.020294234059468324,5.0
談,0.03257658498623641,0.033222112023213415,0.04044433758749511,15.0
 上手く,0.03229577138284055,0.03304043682666296,0.04295802750069338,7.0
立ち,0.03220322400824486,0.03220322400824486,0.040940175854616095,8.0
 けれ,0.03209235481208452,0.03209235481208452,0.031327490791948874,20.0
 大切,0.031844607331294954,0.032116364694814596,0.037789636601261764,178.0
 繋がる,0.031396069504262415,0.031396069504262415,0.013693473931972613,5.0
 文化,0.031144226341315185,0.031840878296365685,0.029081545140463377,33.0
 生命,0.03099861590017099,0.03168533693824429,0.03300727408078945,5.0
 関心,0.03076518482807192,0.03127809335506265,0.027804056344600828,17.0
 べき,0.030696120597260557,0.03180929389459061,0.0557901713649608,111.0
 立つ,0.030671718816528797,0.030671718816528797,0.0190667669573866,25.0
 世界,0.030621935363374413,0.030621935363374413,0.041074158415722824,20.0
 能力,0.03055423176435653,0.031167885746713246,0.05009822743257642,62.0
 成果,0.03024893254635642,0.03024893254635642,0.047074973748501475,6.0
 なり,0.030216955480222293,0.031147356983824034,0.03816823651362301,198.0
ベート,0.030132824133033864,0.031818796752809755,0.02938541651384905,9.0
かり,0.029683617995768068,0.029982003268794792,0.025847685270878197,32.0
 さまざま,0.0292718118216726,0.0308950346938218,0.030788080695610422,10.0
 広げ,0.029023708113334788,0.029023708113334788,0.017484559688923484,5.0
 !,0.02888757807099151,0.03166417152776412,0.04073259030619358,131.0
 映画,0.028781849858205533,0.028898367619694908,0.03889249526805729,30.0
 でし,0.028770414644231114,0.02990310684289221,0.04263680797645766,249.0
 取れる,0.028693902589414694,0.0298520820345099,0.03841536655828332,30.0
 自然,0.028564204309986962,0.028564204309986962,0.025998509048700224,12.0
 倫理,0.028478730920445134,0.028478730920445134,0.03661087186713839,6.0
かせる,0.028457982066486563,0.02894464084446164,0.02468021814865424,7.0
 上がる,0.028055426308492316,0.029221892924761052,0.02959615813217106,5.0
 知っ,0.028042763968447355,0.028042763968447355,0.042187062663996217,21.0
 良く,0.02797493149923599,0.028216386341441916,0.03351639184738868,17.0
 克服,0.027806374617891077,0.02820815978581474,0.026083393370683532,6.0
 取り組み,0.027800718390272174,0.027985467884256536,0.03731371528291165,65.0
 おり,0.02762843454393024,0.0276413926460779,0.027980850362012002,21.0
 キャリア,0.02756130309409435,0.027739447805428287,0.022029441543155018,13.0
 とても,0.02723028547361168,0.03134625044003396,0.03348970736331442,478.0
 新しい,0.026880439847600912,0.027074226430157177,0.022704389315829816,29.0
 代数,0.02681974804578264,0.02755883763465744,0.04101228174186216,33.0
難,0.0268133282544267,0.032198587794074855,0.048340923219888844,23.0
 解け,0.026812547223357797,0.027780235795603403,0.04188950686764821,32.0
張,0.026803479150236714,0.02866586707085468,0.054721277066632226,17.0
 訪問,0.026779254443681566,0.026779254443681566,0.0179338503426993,5.0
 九州,0.02663105194027166,0.027710505622962955,0.020773734264777185,34.0
 深め,0.02652317672484966,0.027083048001923057,0.027174748249384078,30.0
 経済,0.026398394607027652,0.027012521538675244,0.03361310042637339,65.0
 つな,0.02631059521095617,0.02631059521095617,0.0201121755736664,8.0
せる,0.026271928753396005,0.026838053246347745,0.029127873365805197,13.0
 機能,0.02605802498025393,0.02605802498025393,0.028892740185434064,6.0
 進ん,0.026053589588462437,0.026053589588462437,0.02845012694061652,11.0
 取り組む,0.02587159427427271,0.02635411109072406,0.02864567678056627,105.0
 理論,0.025739313022705556,0.02616752671841003,0.027850268045191553,10.0
 マーケティング,0.02554133739197693,0.026378583414563245,0.01443905624348823,7.0
 幅広く,0.025527587216470925,0.025527587216470925,0.022202818361298806,6.0
 ポイント,0.025421817834918755,0.026945340027065386,0.02758752479847134,25.0
 住ん,0.025397893212660467,0.025397893212660467,0.02022657758898258,6.0
