word,mean_shap,abs_mean_shap,count,category,sentiment_type
!,0.0288875780709915,0.0316641715277641,131.0,その他,ポジティブ
映画,0.0287818498582055,0.0288983676196949,30.0,その他,ポジティブ
でし,0.0287704146442311,0.0299031068428922,249.0,その他,ポジティブ
取れる,0.0286939025894146,0.0298520820345099,30.0,達成感,ポジティブ
自然,0.0285642043099868,0.0285642043099868,12.0,その他,ポジティブ
倫理,0.0284787309204451,0.0284787309204451,6.0,その他,ポジティブ
かせる,0.0284579820664865,0.0289446408444616,7.0,その他,ポジティブ
上がる,0.0280554263084923,0.029221892924761,5.0,その他,ポジティブ
知っ,0.0280427639684473,0.0280427639684473,21.0,その他,ポジティブ
良く,0.0279749314992359,0.0282163863414419,17.0,その他,ポジティブ
克服,0.027806374617891,0.0282081597858147,6.0,その他,ポジティブ
取り組み,0.0278007183902721,0.0279854678842565,65.0,その他,ポジティブ
おり,0.0276284345439302,0.0276413926460779,21.0,その他,ポジティブ
キャリア,0.0275613030940943,0.0277394478054282,13.0,その他,ポジティブ
とても,0.0272302854736116,0.0313462504400339,478.0,その他,ポジティブ
新しい,0.0268804398476009,0.0270742264301571,29.0,その他,ポジティブ
代数,0.0268197480457826,0.0275588376346574,33.0,その他,ポジティブ
難,0.0268133282544267,0.0321985877940748,23.0,難しさ・複雑さ,ポジティブ
解け,0.0268125472233577,0.0277802357956034,32.0,その他,ポジティブ
張,0.0268034791502367,0.0286658670708546,17.0,その他,ポジティブ
訪問,0.0267792544436815,0.0267792544436815,5.0,その他,ポジティブ
九州,0.0266310519402716,0.0277105056229629,34.0,その他,ポジティブ
深め,0.0265231767248496,0.027083048001923,30.0,深い学び,ポジティブ
経済,0.0263983946070276,0.0270125215386752,65.0,その他,ポジティブ
つな,0.0263105952109561,0.0263105952109561,8.0,その他,ポジティブ
せる,0.026271928753396,0.0268380532463477,13.0,その他,ポジティブ
機能,0.0260580249802539,0.0260580249802539,6.0,その他,ポジティブ
進ん,0.0260535895884624,0.0260535895884624,11.0,その他,ポジティブ
取り組む,0.0258715942742727,0.0263541110907239,105.0,その他,ポジティブ
理論,0.0257393130227055,0.02616752671841,10.0,その他,ポジティブ
マーケティング,0.0255413373919769,0.0263785834145632,7.0,その他,ポジティブ
幅広く,0.0255275872164709,0.0255275872164709,6.0,その他,ポジティブ
ポイント,0.0254218178349187,0.0269453400270653,25.0,その他,ポジティブ
住ん,0.0253978932126604,0.0253978932126604,6.0,その他,ポジティブ
なっ,0.0253564036204157,0.0261270320023471,240.0,その他,ポジティブ
製作,0.0252907585102851,0.0267617976242036,6.0,その他,ポジティブ
活用,0.0252384132975763,0.0252384132975763,35.0,実用性,ポジティブ
しかった,0.0249159328767893,0.0264763258936189,21.0,その他,ポジティブ
学問,0.0249107964918948,0.0263320135709362,5.0,学習効果,ポジティブ
幅広い,0.0248854549475557,0.0248854549475557,6.0,その他,ポジティブ
高まっ,0.0248447350211844,0.0248447350211844,5.0,その他,ポジティブ
驚き,0.0248317517389498,0.0248317517389498,6.0,その他,ポジティブ
もと,0.024779663719709,0.024779663719709,9.0,その他,ポジティブ
イメージ,0.0247612688254102,0.0247612688254102,6.0,その他,ポジティブ
解説,0.0247268305602256,0.0262514180908165,94.0,その他,ポジティブ
環境,0.0246049358293935,0.0250702681952571,63.0,その他,ポジティブ
気,0.0245344258395821,0.0253828846387997,7.0,その他,ポジティブ
変わっ,0.0241926202448667,0.0246849379895138,5.0,その他,ポジティブ
チャレンジ,0.0240903035429905,0.0240903035429905,5.0,その他,ポジティブ
交え,0.0238678169771446,0.0238678169771446,5.0,その他,ポジティブ
入り,0.0238514716532347,0.0238514716532347,14.0,その他,ポジティブ
触れ,0.0237744095758508,0.0238587509528076,21.0,その他,ポジティブ
っ,0.0236886241453334,0.0250971251892437,107.0,その他,ポジティブ
行動,0.0235050759882094,0.0235050759882094,20.0,その他,ポジティブ
組ん,0.0234906338890141,0.024285989767668,5.0,その他,ポジティブ
れ,0.0234035902174253,0.0241735263117106,90.0,その他,ポジティブ
られ,0.0233419354890061,0.0238408300935338,83.0,その他,ポジティブ
下さ,0.0233118540423068,0.0258127483665399,15.0,その他,ポジティブ
いれ,0.0231191207780706,0.0242857775537115,59.0,その他,ポジティブ
