natural,mean_shap,abs_mean_shap,std_shap,count
と,0.014902281339635398,0.0162552978236985,0.0284700404568523,20.0
 。,0.0148164339418273,0.0170994630667714,0.0237089902276043,5323.0
 だ,0.0148060694772893,0.0156634837974819,0.0196856847815388,404.0
 概念,0.014801617914053999,0.0177326994642498,0.0241908147124928,5.0
 観,0.0147982714135853,0.0371214184386998,0.0400792634676699,6.0
 ある,0.0147873264925612,0.0163180322347488,0.0265589464593798,381.0
 ヒント,0.0147838403010281,0.0176913283265422,0.0203699308315571,9.0
 英,0.0147229497484017,0.0156849088553452,0.015412825112949599,17.0
 アップ,0.014692147787970001,0.014692147787970001,0.014195965837447899,10.0
 動かし,0.0146403100134193,0.0150185101907222,0.0217753037762776,7.0
 見,0.0145595122953603,0.0153935405338454,0.0193817030914853,103.0
 基礎,0.014538633532627,0.0177146230813502,0.0216272666202898,152.0
 最大,0.0144570896068496,0.0144570896068496,0.0162886454782972,6.0
 向け,0.0144419248527293,0.016502386282744,0.0220806072694749,14.0
 や,0.014408566373327299,0.0158229656337901,0.0178260234042493,626.0
 貴重,0.014300978018362302,0.0157825408712218,0.015365567342798798,11.0
 教え,0.0142985608370451,0.017406091564504,0.0201100880397822,116.0
 解く,0.0142207309774936,0.0173987023489993,0.0340345476046405,62.0
 も,0.014117226097417,0.0151074314731598,0.0194627193508738,1045.0
 感,0.0140801517440403,0.0165033200385086,0.0190308463821509,23.0
論,0.014074133247277099,0.0144204123616115,0.0144550312206337,12.0
 見る,0.014070516264996598,0.0149337302280174,0.0135170221004093,30.0
 思っ,0.014041904074705,0.0160883350227765,0.0223122764463134,84.0
 ぜ,0.0140078727821946,0.0141715569447387,0.0215353689286588,33.0
 文学,0.0139750343086958,0.0166568337744862,0.010376394625576,7.0
 流れ,0.013964243690927698,0.013964243690927698,0.0136863931450943,11.0
 お,0.0139628880196993,0.0171773465421185,0.0352431600869805,115.0
 運動,0.013925963485374799,0.0172477685848272,0.0255587616346121,87.0
 よる,0.0139249590826068,0.0140049602564538,0.0189454843786546,17.0
 身近,0.0139200906452606,0.0163254392468176,0.030439620873014803,15.0
 経営,0.0138898615297512,0.0185087516836938,0.0184055705225376,25.0
合い,0.0138874950877271,0.0147742980969529,0.0150933532277482,7.0
 つか,0.0138100106908712,0.0251310951169996,0.0330762601679358,7.0
 将来,0.0138034677362775,0.014633523339103201,0.0151891585829713,54.0
 ます,0.0137866893714224,0.0169385518068074,0.028057848639583702,1200.0
 大学,0.0137839545358444,0.0160084612129109,0.0203695481150873,72.0
 使わ,0.0137749411543336,0.0137749411543336,0.0140598878432395,5.0
 現在,0.0137727157556153,0.014118845682548798,0.0171523250126379,13.0
 研究,0.0137607676859687,0.0141283781254364,0.0166530813078455,60.0
 つき,0.013737330579738602,0.0152101522953622,0.0179308174516861,24.0
 いろ,0.013694986793360299,0.0152178887833892,0.0128347767863868,26.0
 提供,0.013683697070343098,0.013683697070343098,0.0086056299673172,5.0
 増やすい,0.0136192045584103,0.0142246447403814,0.0141497445790392,8.0
 評価,0.013594302645568301,0.013947369032888601,0.0254862378923117,19.0
 とも,0.0135431745376771,0.0182294119067537,0.026150647373838,22.0
 是非,0.0134907521782005,0.0226965590635668,0.0361605762627533,22.0
 考察,0.0134718463061212,0.0146767978380949,0.021385621581548,13.0
 ウェル,0.0134492884797043,0.015492447669884,0.0187745071427162,48.0
 文,0.013443357181945101,0.0144432832406126,0.0217538634281981,19.0
に,0.0134174120657513,0.0178404047800844,0.0223200087927473,18.0
